complaint_text,category
recycling bin is rotting and stinking outside my house.,Sanitation
Urgent: permit application requested a bribe at town hall.,Administration
The parade is very nice in the park.,General
gunshots fired happened just now near Birendra Chowk.,Public Safety
clinic hygiene is critical condition at the city hospital.,Healthcare
clinic hygiene needs a doctor immediately at the ER.,Healthcare
tax documents keeps crashing at town hall.,Administration
Attention: pothole on road is breaking apart in the downtown area.,Infrastructure
City gardens looks beautiful in the park.,General
Attention: dead animal carcass is leaking into drains outside my house.,Sanitation
medical emergency is dropping fast at the ER.,Healthcare
Attention: bridge support is gushing water near the square.,Infrastructure
tax documents is stuck for months at town hall.,Administration
medical emergency needs a doctor immediately at the ER.,Healthcare
passport processing keeps crashing on the government portal.,Administration
medical emergency needs a doctor immediately near the health clinic.,Healthcare
bridge support is crumbling near the square.,Infrastructure
suspicious loitering happened just now at the train station.,Public Safety
passport processing keeps crashing at city hall.,Administration
City gardens is interesting for everyone.,General
Attention: heart rate is out of stock at the city hospital.,Healthcare
City gardens looks beautiful for everyone.,General
illegal racing is out of control in the community park.,Public Safety
Urgent: raw sewage is leaking into drains outside my house.,Sanitation
City gardens looks beautiful for everyone.,General
violent kidnapping is extremely scary in the community park.,Public Safety
traffic signal needs urgent repair in the downtown area.,Infrastructure
pothole on road is crumbling in the downtown area.,Infrastructure
Report: medical emergency is critical condition at the city hospital.,Healthcare
Report: theft in progress reported last night near Birendra Chowk.,Public Safety
Attention: Community festival is a great event today.,General
heart rate is dropping fast at the city hospital.,Healthcare
dead animal carcass is leaking into drains behind the school.,Sanitation
Website layout is a great event for everyone.,General
birth certificate requested a bribe at town hall.,Administration
The parade is a great event in the park.,General
tax documents keeps crashing at town hall.,Administration
dead animal carcass is attracting rats in the residential alley.,Sanitation
clerk behavior keeps crashing at town hall.,Administration
blood pressure is dangerously low in the medical ward.,Healthcare
trash accumulation is rotting and stinking near the park.,Sanitation
clerk behavior keeps crashing at town hall.,Administration
garbage pile is overflowing onto street near the park.,Sanitation
Report: birth certificate is full of errors in the records office.,Administration
Urgent: The parade is a great event in the park.,General
heart rate needs a doctor immediately in the medical ward.,Healthcare
Attention: City gardens is a great event this morning.,General
ambulance response is out of stock in the medical ward.,Healthcare
Website layout is a great event in the park.,General
pothole on road is breaking apart on the main highway.,Infrastructure
The weather is very nice this morning.,General
violent kidnapping is extremely scary at the train station.,Public Safety
clinic hygiene is critical condition at the ER.,Healthcare
Report: City gardens looks beautiful this morning.,General
Attention: garbage pile is overflowing onto street outside my house.,Sanitation
Attention: traffic signal needs urgent repair near the square.,Infrastructure
Attention: traffic signal is crumbling at the intersection.,Infrastructure
Attention: heart rate is critical condition at the city hospital.,Healthcare
ambulance response needs a doctor immediately near the health clinic.,Healthcare
The weather is a great event this morning.,General
Urgent: gang fighting reported last night near Birendra Chowk.,Public Safety
Urgent: permit application keeps crashing at town hall.,Administration
Urgent: illegal dumping is attracting rats outside my house.,Sanitation
gunshots fired happened just now in the community park.,Public Safety
gang fighting is a threat to life in the community park.,Public Safety
clerk behavior keeps crashing in the records office.,Administration
birth certificate is being delayed on the government portal.,Administration
Urgent: illegal racing reported last night outside the mall.,Public Safety
illegal dumping is attracting rats in the residential alley.,Sanitation
pothole on road needs urgent repair on the main highway.,Infrastructure
Attention: recycling bin is attracting rats near the park.,Sanitation
theft in progress is out of control outside the mall.,Public Safety
birth certificate keeps crashing at city hall.,Administration
birth certificate is being delayed at town hall.,Administration
Urgent: birth certificate is full of errors on the government portal.,Administration
tax documents is full of errors on the government portal.,Administration
Report: City gardens is interesting in the park.,General
theft in progress is extremely scary at the train station.,Public Safety
Attention: street lights is crumbling near the square.,Infrastructure
The weather is a great event this morning.,General
Community festival is helpful for everyone.,General
official website is full of errors on the government portal.,Administration
The weather is interesting today.,General
ambulance response needs a doctor immediately near the health clinic.,Healthcare
Attention: Community festival is interesting for everyone.,General
blood pressure is out of stock near the health clinic.,Healthcare
Attention: trash accumulation is leaking into drains in the residential alley.,Sanitation
violent kidnapping is a threat to life in the community park.,Public Safety
violent kidnapping is extremely scary in the community park.,Public Safety
official website is full of errors in the records office.,Administration
Report: tax documents is full of errors on the government portal.,Administration
garbage pile is overflowing onto street in the residential alley.,Sanitation
Community festival is very nice for everyone.,General
Attention: water pipe leak is crumbling on the main highway.,Infrastructure
Urgent: heart rate is out of stock near the health clinic.,Healthcare
recycling bin is attracting rats near the park.,Sanitation
Report: theft in progress is a threat to life in the community park.,Public Safety
cracked sidewalk is gushing water in the downtown area.,Infrastructure
heart rate is dropping fast in the medical ward.,Healthcare
blood pressure is dangerously low at the ER.,Healthcare
suspicious loitering is out of control outside the mall.,Public Safety
Attention: dead animal carcass is leaking into drains near the park.,Public Safety
official website is full of errors at town hall.,Administration
Attention: traffic signal is gushing water near the square.,Infrastructure
traffic signal needs urgent repair on the main highway.,Infrastructure
Attention: official website requested a bribe at town hall.,Administration
street lights is crumbling in the downtown area.,Infrastructure
recycling bin is leaking into drains near the park.,Sanitation
traffic signal is crumbling near the square.,Infrastructure
Urgent: The weather is interesting this morning.,General
permit application is full of errors at town hall.,Administration
gang fighting happened just now at the train station.,Public Safety
The parade is interesting this morning.,General
Report: heart rate is dropping fast at the ER.,Healthcare
raw sewage is overflowing onto street outside my house.,Sanitation
Report: Website layout is very nice this morning.,General
theft in progress is out of control near Birendra Chowk.,Public Safety
dead animal carcass is attracting rats in the residential alley.,Sanitation
Report: medical emergency is critical condition at the city hospital.,Healthcare
Attention: recycling bin is attracting rats near the park.,Sanitation
Report: gang fighting is a threat to life at the train station.,Public Safety
pothole on road is breaking apart at the intersection.,Infrastructure
violent kidnapping is out of control at the train station.,Public Safety
illegal dumping is attracting rats near the park.,Sanitation
official website keeps crashing on the government portal.,Administration
traffic signal is dangerous for cars on the main highway.,Infrastructure
Report: birth certificate is full of errors at city hall.,Administration
clinic hygiene needs a doctor immediately at the ER.,Healthcare
pothole on road is breaking apart at the intersection.,Infrastructure
Community festival is helpful today.,General
illegal dumping is overflowing onto street in the residential alley.,Sanitation
Attention: The weather is helpful in the park.,General
official website keeps crashing on the government portal.,Administration
blood pressure needs a doctor immediately at the ER.,Healthcare
Attention: bridge support is dangerous for cars in the downtown area.,Infrastructure
The weather is a great event this morning.,General
violent kidnapping reported last night at the train station.,Public Safety
Urgent: illegal dumping is rotting and stinking near the park.,Sanitation
Urgent: Website layout looks beautiful in the park.,General
gang fighting is a threat to life at the train station.,Public Safety
Report: raw sewage is rotting and stinking in the residential alley.,Sanitation
Report: birth certificate keeps crashing at city hall.,Administration
Website layout is interesting for everyone.,General
bridge support is breaking apart in the downtown area.,Infrastructure
birth certificate is stuck for months at town hall.,Public Safety
The parade is very nice for everyone.,General
blood pressure is dropping fast near the health clinic.,Healthcare
illegal dumping is overflowing onto street near the park.,Sanitation
Report: garbage pile is attracting rats near the park.,Sanitation
dead animal carcass is attracting rats behind the school.,Sanitation
Attention: medical emergency is dropping fast near the health clinic.,Healthcare
street lights is gushing water near the square.,Infrastructure
Report: blood pressure is critical condition at the city hospital.,Healthcare
Report: Community festival looks beautiful in the park.,General
theft in progress is extremely scary at the train station.,Public Safety
blood pressure is critical condition in the medical ward.,Healthcare
tax documents is full of errors on the government portal.,Administration
raw sewage is rotting and stinking near the park.,Sanitation
street lights is crumbling on the main highway.,Infrastructure
Attention: clinic hygiene is out of stock near the health clinic.,Healthcare
insulin stock needs a doctor immediately in the medical ward.,Healthcare
violent kidnapping is extremely scary at the train station.,Public Safety
Website layout is interesting for everyone.,General
The weather looks beautiful today.,General
Report: blood pressure is dropping fast at the city hospital.,Healthcare
tax documents is stuck for months at city hall.,Administration
Attention: official website is stuck for months on the government portal.,Administration
insulin stock is critical condition at the city hospital.,Healthcare
water pipe leak is gushing water at the intersection.,Infrastructure
illegal dumping is overflowing onto street outside my house.,Sanitation
Report: official website keeps crashing at city hall.,Administration
insulin stock is out of stock near the health clinic.,Healthcare
clinic hygiene is dropping fast near the health clinic.,Healthcare
illegal racing is extremely scary in the community park.,Public Safety
gunshots fired happened just now outside the mall.,Public Safety
Attention: illegal racing reported last night near Birendra Chowk.,Public Safety
Attention: permit application is full of errors on the government portal.,Administration
Urgent: official website is being delayed in the records office.,Administration
Website layout is helpful today.,General
bridge support is dangerous for cars in the downtown area.,Sanitation
Report: Website layout is very nice in the park.,General
medical emergency is dangerously low near the health clinic.,Healthcare
Report: suspicious loitering is out of control outside the mall.,Public Safety
street lights is crumbling at the intersection.,Infrastructure
suspicious loitering is extremely scary near Birendra Chowk.,Public Safety
Urgent: permit application is being delayed in the records office.,Administration
medical emergency is dropping fast at the ER.,Healthcare
Urgent: recycling bin is leaking into drains in the residential alley.,Sanitation
gang fighting happened just now outside the mall.,Public Safety
Attention: The weather is interesting today.,General
traffic signal is dangerous for cars on the main highway.,Infrastructure
The parade looks beautiful this morning.,General
Attention: gunshots fired is extremely scary near Birendra Chowk.,Public Safety
ambulance response is critical condition at the city hospital.,Healthcare
Report: tax documents requested a bribe on the government portal.,Administration
Attention: medical emergency is dangerously low at the ER.,Healthcare
Report: permit application is stuck for months on the government portal.,Administration
trash accumulation is rotting and stinking near the park.,Sanitation
suspicious loitering is out of control at the train station.,Public Safety
cracked sidewalk is gushing water in the downtown area.,Infrastructure
illegal racing reported last night at the train station.,Public Safety
Community festival is a great event this morning.,General
Urgent: gunshots fired is out of control in the community park.,Public Safety
pothole on road is crumbling in the downtown area.,Infrastructure
Urgent: bridge support is gushing water in the downtown area.,Infrastructure
official website requested a bribe in the records office.,Administration
clerk behavior requested a bribe at town hall.,Administration
pothole on road is breaking apart at the intersection.,Infrastructure
illegal dumping is attracting rats in the residential alley.,Sanitation
Attention: gunshots fired happened just now at the train station.,Public Safety
passport processing keeps crashing at town hall.,Administration
clinic hygiene is out of stock at the ER.,Healthcare
The parade is interesting for everyone.,General
permit application is being delayed at town hall.,Administration
heart rate is out of stock near the health clinic.,Healthcare
Report: permit application keeps crashing at city hall.,Administration
Urgent: street lights is crumbling in the downtown area.,Infrastructure
Attention: Community festival is a great event this morning.,General
Attention: illegal dumping is leaking into drains near the park.,Sanitation
blood pressure needs a doctor immediately at the city hospital.,Healthcare
Report: bridge support is crumbling at the intersection.,Infrastructure
street lights is breaking apart on the main highway.,Infrastructure
illegal dumping is attracting rats behind the school.,Sanitation
water pipe leak is gushing water near the square.,Infrastructure
Community festival looks beautiful today.,General
theft in progress reported last night outside the mall.,Public Safety
illegal dumping is attracting rats near the park.,Sanitation
Website layout is helpful for everyone.,Public Safety
illegal racing happened just now at the train station.,Public Safety
recycling bin is attracting rats behind the school.,Sanitation
Community festival is a great event this morning.,General
Urgent: traffic signal is crumbling near the square.,Infrastructure
Attention: water pipe leak needs urgent repair on the main highway.,Infrastructure
heart rate needs a doctor immediately near the health clinic.,Healthcare
bridge support is crumbling near the square.,Infrastructure
street lights is breaking apart on the main highway.,Infrastructure
birth certificate is stuck for months in the records office.,Administration
dead animal carcass is leaking into drains outside my house.,Sanitation
Urgent: bridge support is gushing water at the intersection.,Infrastructure
tax documents keeps crashing on the government portal.,Administration
insulin stock needs a doctor immediately at the city hospital.,Healthcare
Report: The parade is interesting for everyone.,General
ambulance response needs a doctor immediately in the medical ward.,Healthcare
raw sewage is attracting rats outside my house.,Sanitation
Attention: Community festival is helpful today.,General
The weather is a great event today.,Healthcare
clerk behavior keeps crashing at city hall.,Administration
Report: The parade is interesting today.,General
Urgent: cracked sidewalk is gushing water on the main highway.,Infrastructure
gang fighting reported last night outside the mall.,Public Safety
passport processing is full of errors in the records office.,Administration
gang fighting is a threat to life near Birendra Chowk.,Public Safety
heart rate is critical condition near the health clinic.,Healthcare
Report: clinic hygiene is out of stock in the medical ward.,Healthcare
The weather looks beautiful this morning.,General
Attention: theft in progress happened just now in the community park.,Public Safety
The weather is helpful in the park.,General
violent kidnapping is a threat to life near Birendra Chowk.,Public Safety
cracked sidewalk is dangerous for cars in the downtown area.,Infrastructure
Report: recycling bin is attracting rats near the park.,Sanitation
Attention: official website keeps crashing in the records office.,Administration
Attention: dead animal carcass is overflowing onto street behind the school.,Sanitation
dead animal carcass is attracting rats outside my house.,Sanitation
Community festival is very nice today.,General
permit application requested a bribe on the government portal.,Administration
tax documents requested a bribe at town hall.,Administration
Report: The weather looks beautiful in the park.,General
Urgent: medical emergency is dangerously low at the city hospital.,Healthcare
illegal dumping is leaking into drains outside my house.,Sanitation
Urgent: birth certificate is stuck for months at town hall.,Administration
medical emergency is out of stock at the city hospital.,Healthcare
heart rate is critical condition near the health clinic.,Healthcare
Attention: official website requested a bribe on the government portal.,Administration
The weather is helpful in the park.,General
water pipe leak is gushing water in the downtown area.,Infrastructure
gang fighting reported last night in the community park.,Public Safety
Website layout is very nice this morning.,General
bridge support needs urgent repair near the square.,Infrastructure
Website layout looks beautiful this morning.,General
suspicious loitering is a threat to life at the train station.,Public Safety
blood pressure is dangerously low in the medical ward.,Healthcare
clerk behavior requested a bribe in the records office.,Administration
The parade looks beautiful in the park.,General
recycling bin is leaking into drains behind the school.,Sanitation
street lights is breaking apart at the intersection.,Infrastructure
clerk behavior keeps crashing in the records office.,Administration
Attention: permit application is stuck for months at city hall.,Administration
Attention: clerk behavior is stuck for months in the records office.,Administration
birth certificate is being delayed at city hall.,Administration
Website layout is a great event this morning.,General
cracked sidewalk is gushing water near the square.,Infrastructure
Website layout is interesting for everyone.,General
Report: trash accumulation is overflowing onto street outside my house.,Sanitation
gunshots fired is extremely scary in the community park.,Public Safety
illegal racing is extremely scary in the community park.,Public Safety
gang fighting is extremely scary at the train station.,Public Safety
Urgent: heart rate is critical condition at the city hospital.,Healthcare
gang fighting is a threat to life near Birendra Chowk.,Public Safety
clinic hygiene is critical condition in the medical ward.,Healthcare
Attention: ambulance response is out of stock at the ER.,Healthcare
clerk behavior is full of errors on the government portal.,Administration
raw sewage is rotting and stinking behind the school.,Sanitation
violent kidnapping is a threat to life outside the mall.,Public Safety
passport processing is stuck for months at city hall.,Administration
Attention: gunshots fired happened just now in the community park.,Public Safety
gunshots fired reported last night at the train station.,Public Safety
Report: insulin stock is critical condition in the medical ward.,Healthcare
Urgent: theft in progress is a threat to life near Birendra Chowk.,Public Safety
Attention: clerk behavior is stuck for months on the government portal.,Administration
Urgent: heart rate is dropping fast in the medical ward.,Healthcare
Urgent: The parade is helpful today.,General
Report: permit application requested a bribe in the records office.,Administration
heart rate is out of stock in the medical ward.,Healthcare
Website layout is helpful in the park.,General
Attention: suspicious loitering is extremely scary in the community park.,Public Safety
Urgent: illegal racing reported last night in the community park.,Public Safety
Attention: clerk behavior is being delayed at city hall.,Administration
heart rate is dropping fast at the city hospital.,Healthcare
Attention: Website layout is interesting this morning.,General
clinic hygiene is critical condition at the city hospital.,General
ambulance response is dropping fast at the ER.,Healthcare
City gardens is a great event in the park.,General
Urgent: heart rate is out of stock at the ER.,Healthcare
recycling bin is leaking into drains outside my house.,Sanitation
medical emergency is out of stock at the city hospital.,Healthcare
dead animal carcass is rotting and stinking behind the school.,Sanitation
Attention: heart rate is critical condition at the city hospital.,Healthcare
garbage pile is attracting rats behind the school.,Sanitation
Community festival is very nice today.,General
pothole on road needs urgent repair near the square.,Infrastructure
The weather looks beautiful this morning.,General
illegal racing reported last night near Birendra Chowk.,Public Safety
medical emergency is dropping fast at the ER.,Healthcare
cracked sidewalk is dangerous for cars at the intersection.,Infrastructure
Urgent: cracked sidewalk is gushing water at the intersection.,Infrastructure
dead animal carcass is overflowing onto street near the park.,Sanitation
Attention: Community festival is a great event for everyone.,General
Attention: permit application requested a bribe in the records office.,Administration
blood pressure is out of stock in the medical ward.,Healthcare
trash accumulation is leaking into drains in the residential alley.,Sanitation
clinic hygiene is dropping fast near the health clinic.,Healthcare
Report: traffic signal is breaking apart on the main highway.,Infrastructure
birth certificate requested a bribe on the government portal.,Administration
medical emergency is dangerously low at the ER.,Healthcare
gang fighting is a threat to life outside the mall.,Public Safety
traffic signal needs urgent repair at the intersection.,Infrastructure
Attention: permit application is being delayed in the records office.,Administration
Report: gang fighting is out of control at the train station.,Public Safety
Report: raw sewage is leaking into drains in the residential alley.,Sanitation
illegal dumping is overflowing onto street outside my house.,Sanitation
Urgent: theft in progress is extremely scary in the community park.,Public Safety
ambulance response is dropping fast near the health clinic.,Healthcare
Report: blood pressure is critical condition in the medical ward.,Healthcare
gang fighting is a threat to life at the train station.,Public Safety
Report: The parade looks beautiful in the park.,General
street lights needs urgent repair in the downtown area.,Infrastructure
Urgent: Website layout is very nice for everyone.,General
Attention: official website requested a bribe at city hall.,Administration
Attention: violent kidnapping is out of control outside the mall.,Public Safety
Report: The parade is very nice in the park.,General
Urgent: dead animal carcass is overflowing onto street outside my house.,Sanitation
Attention: violent kidnapping reported last night outside the mall.,Public Safety
traffic signal is crumbling at the intersection.,Infrastructure
heart rate is critical condition at the city hospital.,Healthcare
recycling bin is rotting and stinking behind the school.,Sanitation
water pipe leak is gushing water in the downtown area.,Infrastructure
dead animal carcass is rotting and stinking in the residential alley.,Sanitation
Community festival is helpful this morning.,General
gunshots fired is out of control near Birendra Chowk.,Public Safety
birth certificate keeps crashing at city hall.,Administration
Report: traffic signal is breaking apart at the intersection.,Infrastructure
recycling bin is leaking into drains in the residential alley.,Sanitation
Attention: cracked sidewalk is breaking apart on the main highway.,Infrastructure
City gardens is very nice today.,General
Attention: gang fighting is extremely scary near Birendra Chowk.,Public Safety
Report: water pipe leak is breaking apart in the downtown area.,Infrastructure
suspicious loitering happened just now outside the mall.,Public Safety
The weather looks beautiful for everyone.,General
recycling bin is overflowing onto street in the residential alley.,Sanitation
insulin stock is critical condition at the city hospital.,Healthcare
City gardens is very nice this morning.,General
water pipe leak needs urgent repair at the intersection.,Infrastructure
Report: Community festival is very nice for everyone.,General
suspicious loitering happened just now near Birendra Chowk.,Public Safety
illegal racing is extremely scary in the community park.,Public Safety
ambulance response is dangerously low at the city hospital.,Healthcare
water pipe leak is breaking apart in the downtown area.,Infrastructure
Attention: insulin stock is out of stock at the city hospital.,Healthcare
The weather is very nice this morning.,General
Urgent: The weather is helpful in the park.,General
The weather is interesting this morning.,General
Attention: Website layout is a great event for everyone.,General
street lights is dangerous for cars near the square.,Infrastructure
The weather is helpful this morning.,General
illegal racing is extremely scary near Birendra Chowk.,Public Safety
gang fighting is out of control in the community park.,Administration
illegal dumping is leaking into drains behind the school.,Sanitation
blood pressure is out of stock at the ER.,Healthcare
theft in progress is extremely scary at the train station.,Public Safety
trash accumulation is overflowing onto street behind the school.,Sanitation
Urgent: water pipe leak is dangerous for cars near the square.,Infrastructure
recycling bin is overflowing onto street outside my house.,Sanitation
gang fighting is a threat to life in the community park.,Public Safety
recycling bin is overflowing onto street outside my house.,Sanitation
Attention: heart rate is critical condition in the medical ward.,Healthcare
The parade is a great event today.,General
Attention: passport processing is stuck for months in the records office.,Administration
traffic signal is breaking apart at the intersection.,Infrastructure
tax documents is full of errors in the records office.,Administration
illegal dumping is leaking into drains behind the school.,Sanitation
street lights is crumbling in the downtown area.,Infrastructure
The weather is interesting in the park.,General
gunshots fired is extremely scary near Birendra Chowk.,Public Safety
Attention: cracked sidewalk is crumbling near the square.,Infrastructure
traffic signal needs urgent repair near the square.,Infrastructure
official website requested a bribe in the records office.,Administration
birth certificate keeps crashing on the government portal.,Administration
Report: The weather is helpful this morning.,General
trash accumulation is overflowing onto street behind the school.,Sanitation
trash accumulation is attracting rats outside my house.,Sanitation
clerk behavior keeps crashing at city hall.,Administration
The parade is helpful today.,General
Report: insulin stock is dangerously low near the health clinic.,Healthcare
clinic hygiene is out of stock at the ER.,Healthcare
suspicious loitering happened just now near Birendra Chowk.,Public Safety
Report: clerk behavior requested a bribe on the government portal.,Administration
bridge support is gushing water at the intersection.,Infrastructure
Attention: clinic hygiene is dropping fast in the medical ward.,Healthcare
Attention: City gardens is helpful this morning.,General
Attention: traffic signal is crumbling at the intersection.,Infrastructure
Attention: The parade looks beautiful for everyone.,General
gang fighting is a threat to life near Birendra Chowk.,Public Safety
blood pressure is dangerously low in the medical ward.,Healthcare
Report: official website requested a bribe on the government portal.,Administration
theft in progress is a threat to life outside the mall.,Public Safety
trash accumulation is rotting and stinking behind the school.,Sanitation
bridge support is breaking apart near the square.,Infrastructure
Urgent: gunshots fired is extremely scary near Birendra Chowk.,Public Safety
Urgent: street lights is dangerous for cars at the intersection.,Infrastructure
Website layout is very nice today.,General
recycling bin is rotting and stinking behind the school.,Sanitation
Report: Community festival is a great event this morning.,General
medical emergency is dropping fast at the city hospital.,Healthcare
Report: birth certificate keeps crashing at city hall.,Administration
Community festival is interesting in the park.,General
The parade is a great event today.,General
heart rate is dropping fast near the health clinic.,Healthcare
Attention: dead animal carcass is attracting rats outside my house.,Sanitation
pothole on road needs urgent repair on the main highway.,Infrastructure
Report: recycling bin is rotting and stinking near the park.,Sanitation
Attention: dead animal carcass is rotting and stinking outside my house.,Sanitation
clerk behavior is stuck for months on the government portal.,Healthcare
Attention: traffic signal needs urgent repair at the intersection.,Infrastructure
Report: gang fighting reported last night at the train station.,Public Safety
Attention: clinic hygiene is out of stock at the city hospital.,Healthcare
gunshots fired is a threat to life outside the mall.,Public Safety
ambulance response is critical condition at the ER.,Healthcare
heart rate needs a doctor immediately near the health clinic.,Healthcare
heart rate is dropping fast at the ER.,Healthcare
illegal dumping is overflowing onto street behind the school.,Sanitation
cracked sidewalk is dangerous for cars in the downtown area.,Infrastructure
heart rate is dropping fast at the city hospital.,Healthcare
Website layout looks beautiful for everyone.,General
cracked sidewalk is gushing water at the intersection.,Infrastructure
dead animal carcass is leaking into drains behind the school.,Sanitation
gang fighting is out of control outside the mall.,Public Safety
blood pressure is critical condition at the city hospital.,Healthcare
ambulance response is out of stock at the ER.,Healthcare
trash accumulation is overflowing onto street in the residential alley.,Sanitation
Website layout is a great event in the park.,General
Report: pothole on road is crumbling at the intersection.,Infrastructure
raw sewage is attracting rats outside my house.,Sanitation
Report: illegal dumping is overflowing onto street near the park.,Sanitation
recycling bin is rotting and stinking behind the school.,Sanitation
Urgent: illegal racing reported last night at the train station.,Public Safety
permit application is stuck for months in the records office.,Administration
Attention: theft in progress happened just now in the community park.,Public Safety
Attention: suspicious loitering is extremely scary at the train station.,Public Safety
Attention: The parade is a great event in the park.,General
illegal racing happened just now near Birendra Chowk.,Public Safety
The weather looks beautiful in the park.,General
suspicious loitering is a threat to life near Birendra Chowk.,Public Safety
dead animal carcass is rotting and stinking in the residential alley.,Sanitation
suspicious loitering is a threat to life in the community park.,Public Safety
Community festival looks beautiful this morning.,General
traffic signal needs urgent repair near the square.,Infrastructure
birth certificate is being delayed at town hall.,Administration
Report: Website layout is helpful in the park.,General
Report: medical emergency is dropping fast in the medical ward.,Healthcare
illegal racing is extremely scary near Birendra Chowk.,Public Safety
blood pressure is out of stock at the ER.,Healthcare
The parade is a great event today.,General
Report: violent kidnapping reported last night near Birendra Chowk.,Public Safety
recycling bin is attracting rats outside my house.,Sanitation
ambulance response is out of stock at the city hospital.,Healthcare
dead animal carcass is attracting rats near the park.,Sanitation
illegal dumping is rotting and stinking behind the school.,Sanitation
Attention: suspicious loitering reported last night near Birendra Chowk.,Public Safety
water pipe leak is dangerous for cars at the intersection.,Infrastructure
Urgent: illegal dumping is attracting rats near the park.,Sanitation
official website requested a bribe in the records office.,Administration
trash accumulation is attracting rats near the park.,Sanitation
heart rate is dropping fast at the ER.,Healthcare
Report: passport processing requested a bribe on the government portal.,Administration
official website keeps crashing on the government portal.,Administration
gang fighting is extremely scary at the train station.,Public Safety
clinic hygiene is dropping fast in the medical ward.,Healthcare
Urgent: trash accumulation is attracting rats outside my house.,Sanitation
heart rate is dangerously low in the medical ward.,Healthcare
traffic signal is dangerous for cars in the downtown area.,Infrastructure
garbage pile is overflowing onto street in the residential alley.,Sanitation
birth certificate is being delayed on the government portal.,Administration
heart rate needs a doctor immediately in the medical ward.,Healthcare
insulin stock is dropping fast near the health clinic.,Healthcare
bridge support is breaking apart in the downtown area.,Infrastructure
illegal dumping is rotting and stinking outside my house.,Sanitation
ambulance response is critical condition in the medical ward.,Healthcare
Community festival is interesting in the park.,General
gunshots fired happened just now in the community park.,Public Safety
Attention: clinic hygiene is critical condition at the city hospital.,Healthcare
permit application is being delayed at city hall.,Administration
permit application is being delayed on the government portal.,Administration
official website keeps crashing at city hall.,Administration
Report: insulin stock is dropping fast at the city hospital.,Healthcare
Urgent: traffic signal is crumbling near the square.,Infrastructure
Community festival is helpful today.,General
Report: Website layout looks beautiful this morning.,General
medical emergency is dropping fast at the ER.,Healthcare
blood pressure is dangerously low at the ER.,Healthcare
suspicious loitering is out of control near Birendra Chowk.,Public Safety
Urgent: City gardens is interesting this morning.,General
traffic signal is breaking apart near the square.,Infrastructure
Website layout is interesting this morning.,General
gang fighting is out of control in the community park.,Public Safety
Attention: Community festival is helpful for everyone.,General
Report: passport processing is being delayed at town hall.,Administration
Urgent: passport processing is full of errors at town hall.,Administration
trash accumulation is overflowing onto street outside my house.,Sanitation
gang fighting happened just now outside the mall.,Public Safety
Report: raw sewage is leaking into drains outside my house.,Sanitation
ambulance response is dropping fast at the city hospital.,Healthcare
Attention: Website layout is very nice today.,General
raw sewage is rotting and stinking outside my house.,Sanitation
Attention: birth certificate is stuck for months on the government portal.,Administration
Attention: City gardens is a great event for everyone.,Healthcare
ambulance response is dangerously low in the medical ward.,Healthcare
gunshots fired is out of control in the community park.,Public Safety
cracked sidewalk is breaking apart at the intersection.,Infrastructure
heart rate is out of stock at the city hospital.,Healthcare
Urgent: birth certificate requested a bribe in the records office.,Administration
Community festival is helpful this morning.,Public Safety
medical emergency is out of stock at the city hospital.,Healthcare
City gardens is helpful this morning.,General
cracked sidewalk is breaking apart in the downtown area.,Infrastructure
heart rate is out of stock at the ER.,Healthcare
blood pressure needs a doctor immediately in the medical ward.,Healthcare
water pipe leak is breaking apart on the main highway.,Infrastructure
Community festival is very nice in the park.,General
trash accumulation is attracting rats in the residential alley.,Sanitation
Urgent: heart rate needs a doctor immediately at the city hospital.,Healthcare
permit application requested a bribe on the government portal.,Administration
Attention: City gardens looks beautiful today.,General
Website layout is interesting today.,General
birth certificate requested a bribe on the government portal.,Administration
dead animal carcass is attracting rats in the residential alley.,Public Safety
medical emergency is dangerously low at the ER.,Healthcare
theft in progress is a threat to life outside the mall.,Public Safety
Community festival is interesting this morning.,General
dead animal carcass is leaking into drains behind the school.,Sanitation
water pipe leak needs urgent repair near the square.,Infrastructure
Urgent: gunshots fired is a threat to life outside the mall.,Public Safety
Report: official website is full of errors at town hall.,Administration
ambulance response is dropping fast at the city hospital.,Healthcare
clinic hygiene is critical condition at the city hospital.,Healthcare
illegal dumping is leaking into drains outside my house.,Sanitation
gang fighting happened just now near Birendra Chowk.,Public Safety
insulin stock is dangerously low in the medical ward.,Healthcare
clinic hygiene needs a doctor immediately at the city hospital.,Healthcare
clinic hygiene is out of stock at the ER.,Healthcare
Report: cracked sidewalk is gushing water on the main highway.,Infrastructure
gunshots fired happened just now at the train station.,Public Safety
clerk behavior requested a bribe at city hall.,Administration
clinic hygiene is dangerously low at the ER.,Healthcare
medical emergency is out of stock at the city hospital.,Healthcare
traffic signal is gushing water at the intersection.,Infrastructure
birth certificate is full of errors at city hall.,Administration
illegal dumping is overflowing onto street outside my house.,Sanitation
Report: heart rate is out of stock in the medical ward.,Healthcare
suspicious loitering is out of control at the train station.,Public Safety
Attention: dead animal carcass is rotting and stinking outside my house.,Sanitation
passport processing keeps crashing at city hall.,Administration
Urgent: gunshots fired happened just now in the community park.,Public Safety
Report: street lights needs urgent repair at the intersection.,Infrastructure
clerk behavior keeps crashing at city hall.,Administration
recycling bin is rotting and stinking behind the school.,Sanitation
garbage pile is leaking into drains behind the school.,Sanitation
